Metric,Value
game,Eurojackpot
draw_count,992
top_main,"[(20, 115), (34, 114), (35, 114), (17, 113), (21, 111)]"
top_special,"[(5, 214), (3, 203), (8, 196), (7, 192), (4, 189)]"
top_pairs,"[((34, 49), 19), ((16, 30), 17), ((17, 39), 17), ((15, 24), 16), ((6, 11), 16)]"
