Rank,SpecialNumber,Frequency,Percent
1,7,369,10.87
2,5,357,10.51
3,6,346,10.19
4,3,345,10.16
5,4,343,10.1
6,2,337,9.92
7,1,330,9.72
8,8,327,9.63
9,0,321,9.45
10,9,321,9.45
