Rank,SpecialNumber,Frequency,Percent
1,5,203,10.62
2,3,194,10.15
3,8,190,9.94
4,7,184,9.62
5,6,180,9.41
6,4,179,9.36
7,1,173,9.05
8,2,165,8.63
9,9,159,8.32
10,10,145,7.58
11,12,78,4.08
12,11,62,3.24
